in,out,beat,dajiao_finish,on position,zukuang_finish,a1,a2,b1,b2,c1,c2,c3,c4,time
2021/11/19 20:32,2021/11/19 20:32,26,31 59,32 23,32 42,26,22,46,45,84,43,43,84,19
2021/11/19 20:32,2021/11/19 20:33,29,32 28,32 51,33 08,26,22,46,45,84,43,43,83,19
2021/11/19 20:33,2021/11/19 20:33,25,32 56,33 16,33 37,26,22,46,45,83,43,43,84,19
2021/11/19 20:33,2021/11/19 20:34,36,33 21,33 46,34 02,26,22,46,45,84,43,44,84,19
2021/11/19 20:34,2021/11/19 20:35,70,33 51,34 10,34 38,26,22,45,45,83,44,44,82,19
2021/11/19 20:35,2021/11/19 20:36,32,34 15,34 46,35 48,26,22,45,45,84,43,43,84,17
2021/11/19 20:36,2021/11/19 20:36,24,34 51,35 57,36 20,26,23,46,45,83,45,44,83,19
2021/11/19 20:36,2021/11/19 20:36,24,36 02,36 28,36 44,26,22,46,45,83,44,45,83,18
2021/11/19 20:36,2021/11/19 20:37,25,36 33,36 52,37 08,25,22,46,46,84,44,43,83,18
2021/11/19 20:37,2021/11/19 20:37,25,36 57,37 16,37 33,27,23,46,45,81,44,43,82,19
2021/11/19 20:37,2021/11/19 20:38,39,37 21,37 41,37 58,26,23,46,45,84,42,43,84,19
2021/11/19 20:38,2021/11/19 20:38,31,37 46,38 06,38 37,26,22,46,45,84,46,43,84,19
2021/11/19 20:38,2021/11/19 20:39,36,38 11,38 45,39 08,26,22,46,45,82,44,43,84,18
2021/11/19 20:39,2021/11/19 20:39,29,38 50,39 16,39 44,26,23,46,45,83,44,47,82,18
2021/11/19 20:39,2021/11/19 20:40,29,39 21,39 53,40 13,26,22,46,45,84,43,43,81,19
2021/11/19 20:40,2021/11/19 20:40,28,39 57,40 21,40 42,26,23,46,45,82,44,45,82,19
2021/11/19 20:40,2021/11/19 20:41,35,40 26,40 50,41 10,26,22,46,45,84,42,43,84,18
2021/11/19 20:41,2021/11/19 20:42,65,40 55,41 19,41 45,26,22,46,45,83,44,43,83,18
2021/11/19 20:42,2021/11/19 20:43,29,41 24,41 53,42 50,27,23,46,45,84,44,44,83,18
2021/11/19 20:43,2021/11/19 20:43,30,41 58,42 59,43 20,26,23,46,45,83,44,43,84,18
2021/11/19 20:43,2021/11/19 20:44,31,43 04,43 28,43 49,27,23,46,45,83,44,44,83,19
