进料,出料,节拍,打胶完成,边框放到位,组框完成,长边扭矩1,长边扭矩2,短边扭矩1,短边扭矩2,边框1出胶量,边框2出胶量,边框3出胶量,边框4出胶量,打胶时间
2021-11-19 21:23:23,2021-11-19 21:26:26,183,22 39,23 08,23 37,26,23,46,45,83,44,44,83,19
2021-11-19 21:27:04,2021-11-19 21:28:28,84,28 05,28 13,28 23,25,21,46,45,84,42,43,83,20
2021-11-19 21:28:28,2021-11-19 21:28:50,22,28 24,28 36,28 45,26,22,47,46,81,47,45,81,37
2021-11-19 21:28:50,2021-11-19 21:29:22,32,28 43,28 54,29 05,27,22,47,46,83,44,43,84,19
2021-11-19 21:29:22,2021-11-19 21:29:50,28,29 02,29 13,29 36,26,22,46,45,83,45,44,83,19
2021-11-19 21:29:50,2021-11-19 21:30:18,28,29 21,29 44,30 04,26,23,46,45,83,44,44,84,19
2021-11-19 21:30:18,2021-11-19 21:30:47,29,29 49,30 13,30 32,26,23,46,45,83,45,45,83,19
2021-11-19 21:30:47,2021-11-19 21:31:10,23,30 17,30 40,31 01,26,22,46,45,84,43,43,83,18
2021-11-19 21:31:35,2021-11-19 21:31:35,0,30 45,31 09,31 24,26,22,46,45,84,44,44,83,0
2021-11-19 21:31:35,2021-11-19 21:32:04,29,31 14,31 33,31 49,26,22,46,45,84,44,44,83,0
2021-11-19 21:32:04,2021-11-19 21:32:34,30,31 37,31 58,32 18,26,22,46,45,82,44,44,82,8
2021-11-19 21:32:34,2021-11-19 21:33:05,31,32 02,32 26,32 48,27,22,46,45,83,45,44,84,19
2021-11-19 21:33:05,2021-11-19 21:33:34,29,32 31,32 57,33 19,25,23,46,45,82,44,44,84,19
2021-11-19 21:33:34,2021-11-19 21:34:20,46,33 01,33 27,33 49,27,22,46,45,83,44,45,82,18
2021-11-19 21:34:20,2021-11-19 21:35:19,59,33 32,33 57,34 34,26,22,46,45,82,44,44,82,19
2021-11-19 21:35:19,2021-11-19 21:36:04,45,34 02,34 43,35 33,26,22,46,45,84,43,44,84,18
2021-11-19 21:36:04,2021-11-19 21:36:51,47,34 47,35 41,36 19,26,23,46,45,84,42,43,83,18
2021-11-19 21:36:51,2021-11-19 21:37:35,44,35 46,36 27,37 05,26,22,46,45,83,44,43,83,19
2021-11-19 21:37:35,2021-11-19 21:38:19,44,36 32,37 14,37 49,25,22,46,45,83,44,45,82,19
2021-11-19 21:38:19,2021-11-19 21:39:46,87,37 19,37 57,38 33,26,23,46,45,84,43,43,84,18
2021-11-19 21:39:46,2021-11-19 21:40:32,46,38 02,38 41,40 00,26,22,46,45,83,44,44,82,19
2021-11-19 21:40:32,2021-11-19 21:41:18,46,38 46,40 08,40 46,26,23,46,45,85,42,43,84,19
2021-11-19 21:41:18,2021-11-19 21:42:00,42,40 13,40 54,41 33,26,23,46,45,84,42,42,83,19
2021-11-19 21:42:00,2021-11-19 21:42:41,41,40 59,41 41,42 14,26,23,46,45,84,44,43,84,18
2021-11-19 21:42:41,2021-11-19 21:43:05,24,41 46,42 22,42 56,26,23,46,45,83,42,42,82,18
2021-11-19 21:43:05,2021-11-19 21:43:28,23,42 27,43 04,43 19,26,22,46,46,84,43,43,85,18
2021-11-19 21:43:28,2021-11-19 21:44:05,37,43 09,43 28,43 42,26,23,47,45,83,45,44,83,19
2021-11-19 21:44:05,2021-11-19 21:44:35,30,43 32,43 51,44 19,26,22,46,45,82,44,43,82,18
2021-11-19 21:44:35,2021-11-19 21:44:59,24,43 55,44 28,44 50,26,22,46,45,83,43,43,83,19
2021-11-19 21:44:59,2021-11-19 21:45:29,30,44 32,44 58,45 13,27,22,46,45,83,44,43,84,19
2021-11-19 21:45:29,2021-11-19 21:45:53,24,45 03,45 21,45 43,26,21,46,45,83,45,45,83,19
2021-11-19 21:45:53,2021-11-19 21:46:30,37,45 26,45 51,46 07,26,22,46,45,83,45,45,81,18
2021-11-19 21:46:30,2021-11-19 21:47:00,30,45 56,46 16,46 45,26,22,46,45,83,44,44,83,19
2021-11-19 21:47:00,2021-11-19 21:47:30,30,46 21,46 53,47 14,26,22,46,45,84,43,43,84,17
2021-11-19 21:47:30,2021-11-19 21:47:54,24,46 58,47 23,47 44,26,22,46,45,82,45,46,82,20
2021-11-19 21:47:54,2021-11-19 21:48:19,25,47 27,47 53,48 08,26,23,46,46,83,44,43,83,18
2021-11-19 21:48:19,2021-11-19 21:48:44,25,47 57,48 16,48 33,26,23,46,45,82,45,46,82,19
2021-11-19 21:48:44,2021-11-19 21:49:09,25,48 21,48 41,48 58,26,22,46,45,83,42,43,83,19
2021-11-19 21:49:09,2021-11-19 21:49:34,25,48 46,49 07,49 23,26,21,46,45,84,42,43,83,19
2021-11-19 21:50:24,2021-11-19 21:50:24,0,49 36,49 57,50 14,26,22,46,45,84,44,43,83,19
2021-11-19 21:50:24,2021-11-19 21:50:50,26,50 02,50 22,50 39,27,22,46,45,84,44,44,84,19
2021-11-19 21:50:50,2021-11-19 21:51:20,30,50 26,50 47,51 04,27,22,46,45,82,43,43,82,18
2021-11-19 21:51:20,2021-11-19 21:52:41,81,52 19,52 27,52 36,26,22,46,45,83,44,43,83,18
2021-11-19 21:56:27,2021-11-19 21:57:40,73,57 17,57 25,57 35,26,22,46,45,83,44,44,83,36
2021-11-19 21:57:40,2021-11-19 21:58:02,22,57 36,57 48,57 57,27,22,46,46,83,44,44,82,37
2021-11-19 21:58:02,2021-11-19 21:58:32,30,57 55,58 05,58 16,27,22,47,46,84,44,44,84,19
2021-11-19 21:58:32,2021-11-19 21:59:04,32,58 14,58 25,58 46,26,23,46,45,82,44,44,83,19
2021-11-19 21:59:04,2021-11-19 21:59:37,33,58 33,58 54,59 18,26,22,46,45,85,43,45,83,19
2021-11-19 21:59:37,2021-11-19 22:00:10,33,58 59,59 27,59 51,26,22,46,45,84,43,45,83,18
2021-11-19 22:00:10,2021-11-19 22:00:42,32,59 31,00 00,00 24,26,22,46,45,83,43,42,84,18
2021-11-19 22:00:42,2021-11-19 22:01:17,35,00 05,00 33,00 56,26,23,46,45,84,44,43,85,20
2021-11-19 22:01:17,2021-11-19 22:01:49,32,00 37,01 05,01 31,26,22,46,45,84,44,44,83,19
2021-11-19 22:01:49,2021-11-19 22:02:20,31,01 09,01 39,02 03,26,22,46,45,83,45,45,82,19
2021-11-19 22:02:20,2021-11-19 22:02:51,31,01 44,02 12,02 34,26,21,46,45,82,43,43,82,19
2021-11-19 22:03:25,2021-11-19 22:03:56,31,02 47,03 14,03 39,26,22,46,45,84,43,43,84,19
2021-11-19 22:03:56,2021-11-19 22:04:52,56,03 18,03 48,04 10,25,22,46,45,83,42,43,84,18
2021-11-19 22:04:52,2021-11-19 22:05:34,42,03 53,04 19,05 06,26,23,46,45,83,45,45,83,19
2021-11-19 22:05:34,2021-11-19 22:06:40,66,04 24,05 15,05 48,26,22,46,45,84,43,45,82,19
2021-11-19 22:06:40,2021-11-19 22:07:27,47,05 20,05 57,06 54,27,23,46,45,82,43,44,81,19
2021-11-19 22:07:27,2021-11-19 22:07:59,32,06 02,07 02,07 41,26,23,46,45,86,42,42,85,19
2021-11-19 22:07:59,2021-11-19 22:09:45,106,07 07,07 49,08 13,26,23,46,45,83,46,45,83,19
2021-11-19 22:09:45,2021-11-19 22:10:55,70,07 53,08 22,09 59,26,22,46,45,81,44,43,82,18
2021-11-19 22:14:59,2021-11-19 22:16:17,78,15 54,16 02,16 12,26,22,46,46,85,43,44,84,19
2021-11-19 22:16:17,2021-11-19 22:16:39,22,16 13,16 25,16 34,26,22,47,46,81,45,45,81,37
2021-11-19 22:16:39,2021-11-19 22:17:07,28,16 32,16 43,16 53,27,22,47,46,83,43,43,82,19
2021-11-19 22:17:07,2021-11-19 22:17:31,24,16 52,17 02,17 21,26,22,46,45,84,43,43,84,19
2021-11-19 22:17:31,2021-11-19 22:17:54,23,17 11,17 30,17 45,27,23,46,46,85,42,42,84,19
2021-11-19 22:17:54,2021-11-19 22:18:16,22,17 35,17 54,18 08,25,23,47,46,83,44,45,83,19
2021-11-19 22:18:16,2021-11-19 22:18:49,33,17 58,18 17,18 30,26,23,47,46,83,44,44,83,19
2021-11-19 22:18:49,2021-11-19 22:19:10,21,18 22,18 39,19 03,26,22,46,46,84,42,43,83,19
2021-11-19 22:19:10,2021-11-19 22:19:38,28,18 43,19 11,19 25,26,22,47,46,83,45,43,84,19
2021-11-19 22:19:38,2021-11-19 22:20:00,22,19 16,19 33,19 52,26,22,46,46,82,44,44,83,19
2021-11-19 22:20:00,2021-11-19 22:20:27,27,19 38,20 00,20 14,26,22,47,46,84,43,43,83,19
2021-11-19 22:20:27,2021-11-19 22:20:48,21,20 05,20 22,20 41,26,23,46,45,82,44,44,82,17
2021-11-19 22:20:48,2021-11-19 22:21:09,21,20 27,20 50,21 02,27,22,47,46,83,45,45,83,19
2021-11-19 22:21:09,2021-11-19 22:21:31,22,20 55,21 10,21 23,27,23,47,46,82,43,44,82,18
2021-11-19 22:21:31,2021-11-19 22:21:54,23,21 15,21 31,21 45,26,23,46,46,83,45,45,83,18
2021-11-19 22:21:54,2021-11-19 22:22:25,31,21 36,21 54,22 08,27,23,46,46,83,43,44,82,19
2021-11-19 22:22:25,2021-11-19 22:22:49,24,21 58,22 17,22 39,26,23,46,45,84,42,43,83,17
2021-11-19 22:22:49,2021-11-19 22:23:14,25,22 22,22 47,23 03,26,23,47,46,83,43,44,83,19
2021-11-19 22:23:14,2021-11-19 22:23:39,25,22 52,23 12,23 28,26,22,46,45,84,43,44,83,19
2021-11-19 22:23:39,2021-11-19 22:24:07,28,23 17,23 37,23 53,26,23,46,45,85,44,44,83,19
