组框机状态,打胶机状态,打胶机是否缺胶,打胶机是否缺料,打胶机是否急停,时间
自动,运行中,否,否,否,2021-11-19 21:37:13
堵线,运行中,否,否,否,2021-11-19 21:37:33
自动,运行中,否,否,否,2021-11-19 21:37:57
堵线,运行中,否,否,否,2021-11-19 21:38:16
自动,运行中,否,否,否,2021-11-19 21:38:40
堵线,运行中,否,否,否,2021-11-19 21:38:59
自动,运行中,否,否,否,2021-11-19 21:40:07
堵线,运行中,否,否,否,2021-11-19 21:40:27
自动,运行中,否,否,否,2021-11-19 21:40:53
堵线,运行中,否,否,否,2021-11-19 21:41:13
自动,运行中,否,否,否,2021-11-19 21:41:39
堵线,运行中,否,否,否,2021-11-19 21:41:58
自动,运行中,否,否,否,2021-11-19 21:42:22
堵线,运行中,否,否,否,2021-11-19 21:42:41
自动,运行中,否,否,否,2021-11-19 21:43:02
堵线,运行中,否,否,否,2021-11-19 21:43:22
自动,运行中,否,否,否,2021-11-19 21:43:27
堵线,运行中,否,否,否,2021-11-19 21:43:46
自动,运行中,否,否,否,2021-11-19 21:43:49
堵线,运行中,否,否,否,2021-11-19 21:44:09
自动,运行中,否,否,否,2021-11-19 21:44:27
堵线,运行中,否,否,否,2021-11-19 21:44:47
自动,运行中,否,否,否,2021-11-19 21:44:57
堵线,运行中,否,否,否,2021-11-19 21:45:17
自动,运行中,否,否,否,2021-11-19 21:45:26
堵线,运行中,否,否,否,2021-11-19 21:45:39
自动,运行中,否,否,否,2021-11-19 21:45:55
堵线,运行中,否,否,否,2021-11-19 21:46:09
自动,运行中,否,否,否,2021-11-19 21:46:14
堵线,运行中,否,否,否,2021-11-19 21:46:34
自动,运行中,否,否,否,2021-11-19 21:46:52
堵线,运行中,否,否,否,2021-11-19 21:47:12
自动,运行中,否,否,否,2021-11-19 21:47:22
堵线,运行中,否,否,否,2021-11-19 21:47:42
自动,运行中,否,否,否,2021-11-19 21:47:52
堵线,运行中,否,否,否,2021-11-19 21:48:11
自动,运行中,否,否,否,2021-11-19 21:48:20
堵线,运行中,否,否,否,2021-11-19 21:48:34
自动,运行中,否,否,否,2021-11-19 21:48:45
堵线,运行中,否,否,否,2021-11-19 21:48:58
自动,运行中,否,否,否,2021-11-19 21:49:06
堵线,运行中,否,否,否,2021-11-19 21:49:25
自动,运行中,否,否,否,2021-11-19 21:49:31
堵线,运行中,否,否,否,2021-11-19 21:49:50
自动,运行中,否,否,否,2021-11-19 21:49:55
堵线,运行中,否,否,否,2021-11-19 21:50:15
自动,运行中,否,否,否,2021-11-19 21:50:21
自动,空闲,否,否,否,2021-11-19 21:50:55
堵线,空闲,否,否,否,2021-11-19 21:51:04
自动,空闲,否,否,否,2021-11-19 21:51:12
堵线,空闲,否,否,否,2021-11-19 21:51:32
自动,空闲,否,否,否,2021-11-19 21:51:42
自动,运行中,否,否,否,2021-11-19 21:52:07
