state1,state2,state3,state4,state4,time
1,1,0,0,0,2021/11/20 1:19
2,1,0,0,0,2021/11/20 1:20
1,1,0,0,0,2021/11/20 1:20
2,1,0,0,0,2021/11/20 1:20
1,1,0,0,0,2021/11/20 1:20
2,1,0,0,0,2021/11/20 1:21
1,1,0,0,0,2021/11/20 1:21
2,1,0,0,0,2021/11/20 1:21
1,1,0,0,0,2021/11/20 1:22
2,1,0,0,0,2021/11/20 1:22
1,1,0,0,0,2021/11/20 1:22
2,1,0,0,0,2021/11/20 1:23
1,1,0,0,0,2021/11/20 1:23
2,1,0,0,0,2021/11/20 1:23
1,1,0,0,0,2021/11/20 1:23
2,1,0,0,0,2021/11/20 1:24
1,1,0,0,0,2021/11/20 1:24
2,1,0,0,0,2021/11/20 1:24
1,1,0,0,0,2021/11/20 1:24
2,1,0,0,0,2021/11/20 1:25
3,1,0,0,0,2021/11/20 1:25
1,1,0,0,0,2021/11/20 1:33
3,1,0,0,0,2021/11/20 1:33
1,0,0,0,0,2021/11/20 1:33
1,1,0,0,0,2021/11/20 1:34
3,1,0,0,0,2021/11/20 1:34
1,1,0,0,0,2021/11/20 1:34
1,0,0,0,0,2021/11/20 1:35
1,1,0,0,0,2021/11/20 1:35
2,1,0,0,0,2021/11/20 1:35
1,1,0,0,0,2021/11/20 1:35
2,1,0,0,0,2021/11/20 1:35
1,1,0,0,0,2021/11/20 1:36
2,1,0,0,0,2021/11/20 1:36
1,1,0,0,0,2021/11/20 1:36
2,1,0,0,0,2021/11/20 1:36
2,0,0,0,0,2021/11/20 1:37
2,1,0,0,0,2021/11/20 1:37
1,1,0,0,0,2021/11/20 1:37
2,1,0,0,0,2021/11/20 1:37
1,1,0,0,0,2021/11/20 1:37
2,1,0,0,0,2021/11/20 1:38
1,1,0,0,0,2021/11/20 1:38
2,1,0,0,0,2021/11/20 1:38
1,1,0,0,0,2021/11/20 1:38
2,1,0,0,0,2021/11/20 1:39
1,1,0,0,0,2021/11/20 1:39
2,1,0,0,0,2021/11/20 1:39
1,1,0,0,0,2021/11/20 1:40
2,1,0,0,0,2021/11/20 1:40
1,1,0,0,0,2021/11/20 1:40
2,1,0,0,0,2021/11/20 1:41
1,1,0,0,0,2021/11/20 1:41
2,1,0,0,0,2021/11/20 1:41
1,1,0,0,0,2021/11/20 1:42
