条码,产线信息,设备号,设备状态,目标温度（取锡）,到达时间（取锡）,持续时间（取锡）,释放时间（取锡）,释放温度（取锡）,能量PAIN（取锡）,焊头使用次数（取锡）,目标温度（焊接）,到达时间（焊接）,持续时间（焊接）,释放时间（焊接）,释放温度（焊接）,能量PAIN（焊接）,焊头使用次数（焊接）,目标温度（脱锡）,到达时间（脱锡）,持续时间（脱锡）,释放时间（脱锡）,释放温度（脱锡）,能量PAIN（脱锡）,焊头使用次数（脱锡）,缺陷,缺陷位置,实时温度,入料时间,出料时间
CY6HMPM21B20012504,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19982.0,405.0,20.0,20.0,0.0,395.0,190.0,19982.0,280.0,20.0,10.0,0.0,270.0,190.0,19982.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 10:04:35,2021-11-25 10:05:06
CY6HMPM21B20012475,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19983.0,405.0,20.0,20.0,0.0,395.0,190.0,19983.0,280.0,20.0,10.0,0.0,270.0,190.0,19983.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",391.0,2021-11-25 10:04:57,2021-11-25 10:05:28
CY6HMPM21B20012492,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19984.0,405.0,20.0,20.0,0.0,395.0,190.0,19984.0,280.0,20.0,10.0,0.0,270.0,190.0,19984.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:05:21,2021-11-25 10:05:50
CY6HMPM21B20012499,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19985.0,405.0,20.0,20.0,0.0,395.0,190.0,19985.0,280.0,20.0,10.0,0.0,270.0,190.0,19985.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 10:05:42,2021-11-25 10:06:13
CY6HMPM21B20012658,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19986.0,405.0,20.0,20.0,0.0,395.0,190.0,19986.0,280.0,20.0,10.0,0.0,270.0,190.0,19986.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",394.0,2021-11-25 10:06:04,2021-11-25 10:06:35
CY6HMPM21B20013508,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19987.0,405.0,20.0,20.0,0.0,395.0,190.0,19987.0,280.0,20.0,10.0,0.0,270.0,190.0,19987.0,"['', '', '', '', '', 'With_Glue6']","['', '', '', '', '', '6']",392.0,2021-11-25 10:06:27,2021-11-25 10:06:58
CY6HMPM21B20012518,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19988.0,405.0,20.0,20.0,0.0,395.0,190.0,19988.0,280.0,20.0,10.0,0.0,270.0,190.0,19988.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",399.0,2021-11-25 10:06:50,2021-11-25 10:07:20
CY6HMPM21B20012496,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19989.0,405.0,20.0,20.0,0.0,395.0,190.0,19989.0,280.0,20.0,10.0,0.0,270.0,190.0,19989.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",397.0,2021-11-25 10:07:13,2021-11-25 10:07:43
CY6HMPM21B20013511,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19990.0,405.0,20.0,20.0,0.0,395.0,190.0,19990.0,280.0,20.0,10.0,0.0,270.0,190.0,19990.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",398.0,2021-11-25 10:07:35,2021-11-25 10:08:05
CY6HMPM21B20012500,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19991.0,405.0,20.0,20.0,0.0,395.0,190.0,19991.0,280.0,20.0,10.0,0.0,270.0,190.0,19991.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",395.0,2021-11-25 10:07:58,2021-11-25 10:08:28
CY6HMPM21B20012517,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19992.0,405.0,20.0,20.0,0.0,395.0,190.0,19992.0,280.0,20.0,10.0,0.0,270.0,190.0,19992.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",393.0,2021-11-25 10:08:20,2021-11-25 10:08:50
CY6HMPM21B20011677,"{'cx_id': '1', 'gx_id': '1', 'gw_id': '1'}",1,OK,290.0,15.0,0.0,0.0,280.0,195.0,19993.0,405.0,20.0,20.0,0.0,395.0,190.0,19993.0,280.0,20.0,10.0,0.0,270.0,190.0,19993.0,"['', '', '', '', '', '']","['', '', '', '', '', '']",396.0,2021-11-25 10:08:42,2021-11-25 10:09:12
